sample_index,seed,scenario,request_id,response_status,solution_rank,solution_id,tradeoff_label,metric_alns_internal_objective,metric_batch_distance_balance,metric_batch_duration_balance,metric_graph_node_count,metric_late_risk_cost,metric_max_zone_load,metric_n_batches,metric_n_grouping_violations,metric_n_late_risk_orders,metric_n_selected_tasks,metric_n_split_orders,metric_n_unselected_tasks,metric_n_zone_crossings,metric_objective_value,metric_priority_alignment,metric_total_distance,metric_total_duration,metric_zone_balance,selected_task_ratio,has_unselected_tasks,is_primary
1,42,urgent,req_demo_ATL1_42_1775047320,completed,1,sol_primary,primary,,0.37246811702925725,0.37246811702925725,6455,0.0,60,4,0,0,112,5,4551,2,402.5819972834701,1.0,1749.0,1749.0,0.8666666666666667,0.024018871970834226,True,True
1,42,urgent,req_demo_ATL1_42_1775047320,completed,2,sol_min_travel,minimize_travel,1821.3527157737028,0.5007440476190473,0.5007440476190473,6455,0.0,58,4,0,0,108,1,7007,3,419.154164049565,1.0,1813.9999999999998,1813.9999999999998,0.8620689655172413,0.015179198875614898,True,False
1,42,urgent,req_demo_ATL1_42_1775047320,completed,3,sol_balance_zones,balance_zones,3.01319430874926,0.572804314329738,0.572804314329738,6455,0.0,59,5,0,0,118,1,3577,1,487.8851943087493,1.0,2136.0,2136.0,1.0,0.031935047361299054,True,False
1,42,urgent,req_demo_ATL1_42_1775047320,completed,4,sol_zero_late_risk,zero_late_risk,2.212074522418482,0.7012263099219618,0.7012263099219618,6455,0.0,59,4,0,0,113,3,3997,0,434.66148130207955,1.0,1905.0,1905.0,0.9152542372881356,0.027493917274939172,True,False
2,43,urgent,req_demo_ATL1_43_1775047380,completed,1,sol_primary,primary,,0.534516765285996,0.534516765285996,6455,0.0,68,4,0,0,122,8,4980,3,352.4196797559013,1.0,2003.6,2003.6,0.7941176470588235,0.02391219129753038,True,True
2,43,urgent,req_demo_ATL1_43_1775047380,completed,2,sol_min_travel,minimize_travel,2036.2881601164024,0.4249657064471876,0.4249657064471876,6455,0.0,68,4,0,0,122,6,4526,5,358.1263777634614,1.0,2026.8,2026.8,0.7941176470588235,0.026247848537005163,True,False
2,43,urgent,req_demo_ATL1_43_1775047380,completed,3,sol_balance_zones,balance_zones,5.317085397418721,0.6642526071842411,0.6642526071842411,6455,0.0,75,4,0,0,129,5,5089,1,390.9408053974187,1.0,2243.4,2243.4,0.72,0.024722115753162133,True,False
2,43,urgent,req_demo_ATL1_43_1775047380,completed,4,sol_zero_late_risk,zero_late_risk,5.5580688618672855,0.42781155015197553,0.42781155015197553,6455,0.0,68,5,0,0,122,6,5758,1,348.3482865089261,1.0,1992.8,1992.8,0.7941176470588235,0.02074829931972789,True,False
3,44,urgent,req_demo_ATL1_44_1775047440,completed,1,sol_primary,primary,,0.4496153846153847,0.4496153846153847,6455,0.0,72,5,0,0,114,4,3634,5,402.319579542416,1.0,2130.3999999999996,2130.3999999999996,0.5833333333333334,0.030416221985058698,True,True
3,44,urgent,req_demo_ATL1_44_1775047440,completed,2,sol_min_travel,minimize_travel,2144.8088075000696,0.4345663661796703,0.4345663661796703,6455,0.0,71,5,0,0,129,9,3727,4,403.18328637330893,1.0,2137.0,2137.0,0.8169014084507042,0.03345435684647303,True,False
