sample_index,seed,scenario,request_id,response_status,response_error_code,task_count,order_count,zone_count,validation_warning_count,invalid_task_count,computation_time,n_solutions_returned
1,42,balanced,req_demo_ATL1_42_1775047320,completed,,100,10,2,0,0,21.77966033294797,4
2,43,travel_min,req_demo_ATL1_43_1775047380,completed,,100,10,2,0,0,21.592287500039674,4
3,44,congested,req_demo_ATL1_44_1775047440,completed,,100,10,2,0,0,21.327988915960304,4
4,45,urgent,req_demo_ATL1_45_1775047500,completed,,100,10,2,0,0,21.51006741693709,4
5,46,balanced,req_demo_ATL1_46_1775047560,completed,,100,10,2,0,0,21.57795804203488,4
6,47,travel_min,req_demo_ATL1_47_1775047620,completed,,100,10,2,0,0,21.547717957990244,4
7,48,congested,req_demo_ATL1_48_1775047680,completed,,100,10,2,0,0,21.6232727910392,4
8,49,urgent,req_demo_ATL1_49_1775047740,completed,,100,10,2,0,0,17.530111958039925,4
9,50,balanced,req_demo_ATL1_50_1775047800,completed,,100,10,2,0,0,21.53809779090807,4
10,51,travel_min,req_demo_ATL1_51_1775047860,completed,,100,10,2,0,0,21.61620137502905,4
11,52,congested,req_demo_ATL1_52_1775047920,completed,,100,10,2,0,0,14.138644707971253,4
12,53,urgent,req_demo_ATL1_53_1775047980,completed,,100,10,2,0,0,20.91454137500841,4
13,54,balanced,req_demo_ATL1_54_1775048040,completed,,100,10,2,0,0,21.69394387502689,4
14,55,travel_min,req_demo_ATL1_55_1775048100,completed,,100,10,2,0,0,21.731611791998148,4
15,56,congested,req_demo_ATL1_56_1775048160,completed,,100,10,2,0,0,19.65318583289627,4
16,57,urgent,req_demo_ATL1_57_1775048220,completed,,100,10,2,0,0,18.294101874926127,4
17,58,balanced,req_demo_ATL1_58_1775048280,completed,,100,10,2,0,0,21.74742754199542,4
18,59,travel_min,req_demo_ATL1_59_1775048340,completed,,100,10,2,0,0,21.661246665986255,4
19,60,congested,req_demo_ATL1_60_1775048400,completed,,100,10,2,0,0,21.60834541695658,4
20,61,urgent,req_demo_ATL1_61_1775048460,completed,,100,10,2,0,0,17.959821166004986,4
