sample_index,seed,scenario,request_id,response_status,solution_rank,solution_id,tradeoff_label,metric_alns_internal_objective,metric_batch_distance_balance,metric_batch_duration_balance,metric_graph_node_count,metric_late_risk_cost,metric_max_zone_load,metric_n_batches,metric_n_grouping_violations,metric_n_late_risk_orders,metric_n_selected_tasks,metric_n_split_orders,metric_n_unselected_tasks,metric_n_zone_crossings,metric_objective_value,metric_primary_attempt_index,metric_primary_random_seed,metric_priority_alignment,metric_total_distance,metric_total_duration,metric_zone_balance,selected_task_ratio,has_unselected_tasks,is_primary
1,42,balanced,req_demo_ATL1_42_1775047320,completed,1,sol_primary,primary,,0.42477514309076014,0.42477514309076014,6455,0.0,69,4,0,0,100,7,0,2,405.6336217391304,1,14036554372381381602,0.8333333333333334,1409.3999999999999,1409.3999999999999,0.4492753623188406,1.0,False,True
1,42,balanced,req_demo_ATL1_42_1775047320,completed,2,sol_min_travel,minimize_travel,1367.2829999999997,0.6062956204379556,0.6062956204379556,6455,0.0,69,4,0,0,100,7,0,2,392.22882173913035,,,0.8333333333333334,1362.1999999999998,1362.1999999999998,0.4492753623188406,1.0,False,False
1,42,balanced,req_demo_ATL1_42_1775047320,completed,3,sol_balance_zones,balance_zones,4.00972463768116,0.6295167609925993,0.6295167609925993,6455,0.0,69,5,0,0,100,6,0,1,504.3872550724637,,,0.6,1762.6,1762.6,0.4492753623188406,1.0,False,False
1,42,balanced,req_demo_ATL1_42_1775047320,completed,4,sol_zero_late_risk,zero_late_risk,2.9915555555555553,0.37472283813747254,0.37472283813747254,6455,0.0,69,9,0,0,100,8,0,0,600.1522439613526,,,0.9444444444444444,2102.0,2102.0,0.4492753623188406,1.0,False,False
2,43,travel_min,req_demo_ATL1_43_1775047380,completed,1,sol_primary,primary,,0.5507026205848843,0.5507026205848843,6455,0.0,83,3,0,0,100,6,0,1,856.8244289156627,2,15296804750453961392,1.0,1308.4,1308.4,0.20481927710843373,1.0,False,True
2,43,travel_min,req_demo_ATL1_43_1775047380,completed,2,sol_min_travel,minimize_travel,1310.7120000000002,0.5507026205848843,0.5507026205848843,6455,0.0,83,3,0,0,100,6,0,1,856.8244289156627,2,15296804750453961392,1.0,1308.4,1308.4,0.20481927710843373,1.0,False,False
2,43,travel_min,req_demo_ATL1_43_1775047380,completed,3,sol_balance_zones,balance_zones,1.7791807228915664,0.46347607052896744,0.46347607052896744,6455,0.0,83,4,0,0,100,4,0,0,938.8503955823294,,,0.8333333333333334,1436.0,1436.0,0.20481927710843373,1.0,False,False
2,43,travel_min,req_demo_ATL1_43_1775047380,completed,4,sol_zero_late_risk,zero_late_risk,0.738,0.36810126582278496,0.36810126582278496,6455,0.0,83,6,0,0,100,3,0,0,1198.7284289156628,,,1.0,1834.4,1834.4,0.20481927710843373,1.0,False,False
3,44,congested,req_demo_ATL1_44_1775047440,completed,1,sol_primary,primary,,0.8413705583756348,0.8413705583756348,6455,0.0,38,2,0,0,53,1,47,2,316.7766418582828,,,1.0,870.6,870.6,0.39473684210526316,0.53,True,True
3,44,congested,req_demo_ATL1_44_1775047440,completed,2,sol_min_travel,minimize_travel,996.0384203733721,0.917052469135803,0.917052469135803,6455,0.0,38,2,0,0,73,4,27,0,359.0469624786351,,,1.0,993.8000000000002,993.8000000000002,0.9210526315789473,0.73,True,False
3,44,congested,req_demo_ATL1_44_1775047440,completed,3,sol_balance_zones,balance_zones,2.2909521519201204,0.9205246913580252,0.9205246913580252,6455,0.0,38,2,0,0,74,4,26,0,359.68161530981484,3,18262623524851295792,1.0,995.6000000000001,995.6000000000001,0.9473684210526315,0.74,True,False
